"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"BriovaRx","IL","Healthcare Provider","1067","10/14/2013","Unauthorized Access/Disclosure","Email","No","\N"
"North Country Hospital and Health Center, Inc","VT","Healthcare Provider","550","10/15/2013","Theft","Laptop","No","\N"
"Hope Community Resources, Inc.","AK","Healthcare Provider","1556","10/16/2013","Unauthorized Access/Disclosure","Email","No","\N"
"Broward Health Medical Center","FL","Healthcare Provider","960","10/17/2013","Unauthorized Access/Disclosure","Desktop Computer","No","\N"
"Mount Sinai Medical Center","NY","Healthcare Provider","610","10/21/2013","Loss","Other Portable Electronic Device","No","\N"
"Texas Health Presbyterian Dallas Hospital","TX","Healthcare Provider","949","10/22/2013","Theft","Desktop Computer","No","\N"
"Ferris State University MI College of Optometry","MI","Healthcare Provider","3947","10/23/2013","Hacking/IT Incident","Network Server","No",""
"none, Seton Healthcare Family","TX","Healthcare Provider","5500","10/23/2013","Theft","Laptop","No","OCR opened an investigation of the covered entity (CE), Seton Healthcare Family  after it reported that on October 4, 2013, an unencrypted laptop computer that contained the electronic protected health information (ePHI) of 5,500 patients was stolen from a clinic.  The ePHI included patients' names, medical record numbers, account numbers, social security numbers, dates of birth, diagnoses, immunizations, and insurance information.  The CE notified HHS, affected individuals, and the media in accordance with the Breach Notification Rule and provided free credit monitoring services for one year.  The CE took a number of corrective actions to prevent future breaches.  It implemented a full disk encryption policy to be applied prior to deployment of new computers, updated internal processes, and retrained staff on its updated processes.  The CE also sanctioned and re-trained the workforce member involved in the breach, and confirmed the same was applied to the Dell IT technician involved with system upgrades, including encryption.  OCR obtained assurances that the CE implemented the corrective actions listed."
"PROFESSIONAL TRANSCRIPTION SERVICES","NY","Business Associate","37000","10/25/2013","Unauthorized Access/Disclosure","Network Server","Yes","\N"
"Good Samaritan Hospital","CA","Healthcare Provider","3833","10/25/2013","Theft","Laptop","No","The covered entity (CE), Samaritan Regional Health System, mismatched names and addresses in a mailing to former patients of a recently deceased physician.  The protected health information (PHI) included the names and addresses of approximately 2,203 individuals.  The CE provided breach notification to affected individuals, the media, and HHS, and posted substitute notice on its website.  Following the breach, the CE re-trained staff on proper address validation techniques and implemented new audit procedures for mailings.  OCR obtained assurances that the CE implemented the corrective action listed above."
"SSM Health Care of Wisconsin DBA: St. Mary���s Janesville Hospital","WI","Healthcare Provider","631","10/25/2013","Theft","Laptop","No","A laptop computer containing protected health information (PHI) was stolen from the vehicle of a covered entity's (CE) workforce member.  Approximately 633 individuals were affected by the breach.  The PHI included patients' names, dates of birth, medical records, and account numbers.  The CE immediately reported the laptop theft to the police.  In response to the breach, the CE provided notice to HHS, the affected individuals, and the media.  In addition, the CE encrypted all company laptops, re-trained each provider and employee in possession of a company laptop, and applied disciplinary policies to the employees involved in the incident.  OCR obtained assurances that the covered entity implemented the corrective action listed above.
\
\"
"AHMC Healthcare Inc. and affiliated Hospitals","CA","Healthcare Provider","729000","10/25/2013","Theft","Laptop","No","\N"
"Greater Dallas Orthopaedics, PLLC","TX","Healthcare Provider","5840","10/28/2013","Theft","Desktop Computer","No","Two computers containing files with dictated letters were stolen from the covered entity (CE), Greater Dallas Orthopaedics, PLLC.  The protected health information (PHI) on the audio files included the names and medical information of approximately 5,840 individuals.  Upon discovering the breach, the CE filed a police report.  The CE provided breach notification to HHS, affected individuals, and the media. The CE improved physical security and retrained staff.   OCR obtained assurances that the CE implemented the corrective actions listed."
"Spirit Home Health Care, Corp","FL","Business Associate","603","10/29/2013","Improper Disposal","Paper/Films","Yes","\N"
"Rotech Healthcare Inc.","FL","Healthcare Provider","10680","10/29/2013","Unauthorized Access/Disclosure","Laptop","No","\N"
"Reimbursement Technologies, Inc.","PA","Healthcare Clearing House","2300","10/31/2013","Unauthorized Access/Disclosure","Network Server","No","\N"
"Superior HealthPlan, Inc.","TX","Health Plan","6284","11/01/2013","Other","Paper/Films","No","\N"
"Genesis Rehabilitation Services","PA","Healthcare Provider","1167","11/01/2013","Loss","Other Portable Electronic Device","No","\N"
"Colorado Health & Wellness, Inc.","CO","Healthcare Provider","651","11/02/2013","Theft, Unauthorized Access/Disclosure","Electronic Medical Record","No","\N"
"Barnabas Health Medical Group","NJ","Healthcare Provider","1100","11/05/2013","Theft","Laptop","No","\N"
"DaVita, a division of DaVita HealthCare Partners Inc","CO","Healthcare Provider","11500","11/05/2013","Other, Theft","Laptop","No","\N"
"Blue Cross and Blue Shield of North Carolina","NC","Health Plan","687","11/07/2013","Unauthorized Access/Disclosure","Paper/Films","No","\N"
"North Carolina Department of Health and Human Services - Division of State Operated Health Care Facilities  ","NC","Healthcare Provider","1315","11/08/2013","Unauthorized Access/Disclosure","Other","No","\N"
"Triple S Salud Inc.","PR","Business Associate","13336","11/08/2013","Unauthorized Access/Disclosure","Paper/Films","Yes","\N"
"Associated Urologists of North Carolina","NC","Healthcare Provider","7300","11/08/2013","Other","Other","No","\N"
"Kemmet Dental Design ","ND","Healthcare Provider","2000","11/12/2013","Other, Theft","Paper/Films","No","\N"
"Hospice of the Chesapeake","MD","Healthcare Provider","7606","11/12/2013","Theft","Email","No","Contrary to the covered entity's (CE) established policy, an employee emailed spreadsheets containing the electronic protected health information (ePHI) of 7,035 patients to a personal email account, and a third party may have viewed the spreadsheets.  The PHI included names, addresses, conditions, and diagnoses.  Following the breach, the CE hired an independent computer forensics firm which conducted an independent investigation. The investigation uncovered another spreadsheet containing the PHI of 571 additional patients in the employee's personal email account.  The CE provided breach notification to affected individuals, the media, and HHS, and posted substitute notice on its website.  The CE applied sanctions for violating its policy and terminated the responsible employee. As a result of OCR's investigation, OCR obtained assurances that the CE has periodically conducted risk assessments to assess vulnerabilities to ePHI in its computer systems."
"All Source Medical Management","AZ","Business Associate","1456","11/13/2013","Theft","Other","Yes","\N"
"Memorial Sloan-Kettering Cancer Center","NY","Healthcare Provider","2279","11/13/2013","Loss","Other Portable Electronic Device","No","\N"
"Health Fitness Corporation","IL","Business Associate","4837","11/14/2013","Theft","Laptop","Yes","\N"
"UHS-Pruitt Corporation","GA","Healthcare Provider","1300","11/15/2013","Theft","Laptop","No","A manager's unencrypted laptop computer was stolen from a hotel parking lot which also included the employee's login and system password and the covered entity's (CE) long term care software application.  The laptop contained 1,300 individuals' protected health information (PHI) and included names, social security numbers, addresses, dates of birth, bank account numbers, Medicare numbers, possible diagnoses, and patient locations. Following the breach, the CE changed the employee's password and performed an analysis to ensure no attempts had been made to access the system and long term care application using the prior account and password.  The CE improved safeguards by encrypting electronic devices and employing devices that do not allow local storage.  The CE has also re-trained employees.  OCR has consolidated this review into a compliance review that involves the same corporate entity and another stolen unencrypted laptop. 
\
\
\"
"United Dynacare, LLC dba Dynacare Laboratories","WI","Healthcare Provider","9328","11/18/2013","Theft","Other Portable Electronic Device","No","\N"
"Redwood Memorial Hospital","CA","Healthcare Provider","1039","11/19/2013","Loss","Other Portable Electronic Device","No","\N"
"University of California, San Francisco","CA","Healthcare Provider","8294","11/22/2013","Theft","Laptop, Paper/Films","No","\N"
"Kaiser Foundation Hospital- Orange County","CA","Healthcare Provider","49000","11/22/2013","Loss","Other Portable Electronic Device","No","\N"
"Molina Healthcare of Texas, Inc.","TX","","","11/26/2013","","","No",""
"Jones Chiropractic and Maximum Health","IN","Healthcare Provider","1500","11/26/2013","Theft","Desktop Computer","No","\N"
"Ronald Schubert MD PLLC","WA","Healthcare Provider","950","11/26/2013","Theft","Laptop","No","\N"
"UPMC","PA","Healthcare Provider","1279","11/27/2013","Unauthorized Access/Disclosure","Electronic Medical Record","No","\N"
"UW Medicine","WA","Healthcare Provider","76183","11/27/2013","Hacking/IT Incident","Desktop Computer","No","\N"
"City of Chicago","IL","Healthcare Provider","2080","11/29/2013","Unauthorized Access/Disclosure","Network Server","No","\N"
"Medical Mutual of Ohio","OH","Health Plan","643","12/06/2013","Unauthorized Access/Disclosure","Paper/Films","No",""
"Quality Health Claims Consultants, LLC","IL","Business Associate","1573","12/06/2013","Theft","Email","Yes","The Covered Entity's (CE) Business Associate (BA) mailed letters to their clients to request certain documents containing identifying information. An erroneous fax number listing caused some clients to fax their information to the wrong number.  Approximately 1,573 individuals were affected by the breach.  The protected health information (PHI) involved included names, addresses, dates of birth, and social security numbers.  Following the breach, the BA confirmed that any faxes sent to the incorrect fax number were destroyed.   The BA also standardized all company literature to require manual data entry of client-specific contact information to assure quality control.  OCR  provided information to assist the CE to revise its BA agreement.  
\
\"
"SIU HealthCare","IL","Healthcare Provider","1891","12/06/2013","Loss, Theft","Laptop","No","\N"
"The Good Samaritan Health Center","GA","Healthcare Provider","5000","12/06/2013","Hacking/IT Incident","Desktop Computer","No","One of the covered entity's (CE) computers was infected with malware and as a result, data on the infected computer was encrypted and made inaccessible. The CE subsequently restored the infected data.  The type of protected health information (PHI) involved in the breach was clinical information and included diagnoses/conditions, lab results, medications, and other treatment information for approximately 5,000 individuals.  The CE provided breach notification to HHS,  affected individuals, and the media.  Following the breach, the CE retrained staff, implemented additional safeguards for secure file backup, and upgraded its antivirus software. In response to OCR’s investigation, the CE provided substitute notice of the breach. OCR provided the CE with technical assistance regarding the Security Rule including risk analysis and risk management.
"
"UniHealth Source","GA","Healthcare Provider","4500","12/06/2013","Theft","Laptop","No","\N"
"Walgreen Co.","IL","Healthcare Provider","17350","12/06/2013","Other","Paper/Films","No","\N"
"Methodist Dallas Medical Center","TX","Healthcare Provider","44000","12/06/2013","Unauthorized Access/Disclosure","Other","No","\N"
"Florida Digestive Health Specialists","FL","Healthcare Provider","4400","12/09/2013","Unauthorized Access/Disclosure","Desktop Computer","No","\N"
"Northside Hospital, Inc.","GA","Healthcare Provider","4879","12/10/2013","Loss","Laptop","No","\N"
"Health Help, Inc.","KY","Healthcare Provider","535","12/10/2013","Theft","Other Portable Electronic Device","No","An unencrypted portable computer drive containing the electronic protected health information (ePHI) of 535 individuals was stolen from a workforce member's unlocked personal vehicle parked at home.  The ePHI involved in the breach included names and birthdates.  Upon discovering the breach, the covered entity (CE) provided notice to HHS, affected individuals and the media.  Following the breach, the CE reminded employees of its safeguards policy, provided additional training to workforce members who are authorized to take laptops and mobile devices home, and improved safeguards by instituting random audits to ensure that unencrypted ePHI is not stored on computers and mobile devices.  The CE also updated the computer usage agreement for employees and sanctioned the workforce member for violating its policy.  OCR obtained assurances that the CE implemented the corrective action listed above."
"L.A. Gay & Lesbian Center","CA","Healthcare Provider","59000","12/10/2013","Hacking/IT Incident","Network Server","No","\N"
"Mosaic","NE","Healthcare Provider","3857","12/11/2013","Unauthorized Access/Disclosure","Email","No","The covered entity (CE), Mosaic, discovered multiple employee email accounts that were subject to a phishing attack. The affected e-mail accounts contained the following types of protected health information (PHI): clients’ names, dates of birth, addresses, telephone numbers, government–issued identification numbers, medical record numbers, insurance identification numbers, and payment information.  The breach affected approximately 3,857 individuals.  The CE provided breach notification to HHS, affected individuals, and the media.  The CE responded to the breach by blocking the internet protocol (IP) address which was the source of the phishing scam, contacting the proper authorities to investigate possible criminal infractions, providing phishing scam awareness training to employees, and changing its email practices.  As a result of OCR’s investigation, the CE updated its privacy and security policies, created additional training material, and changed its training practices."
"Island Peer Review Organization","NY","Business Associate","9642","12/12/2013","Loss","Other Portable Electronic Device","Yes","\N"
"Molina Healthcare In","CA","Business Associate","1499","12/16/2013","Unauthorized Access/Disclosure","Network Server","Yes","\N"
"Wyoming Department of Health","WY","Health Plan","11935","12/16/2013","Unauthorized Access/Disclosure","Network Server","No","\N"
"Shiloh Medical Clinic","MT","Healthcare Provider","1900","12/17/2013","Unauthorized Access/Disclosure","Desktop Computer, Email","No","\N"
"DeLoach & Williamson","SC","Business Associate","3432","12/18/2013","Theft","Laptop","Yes","DeLoach & Williamson's (a business associate (BA) for South Carolina Health Insurance Pool) employee's car was broken into and her password-protected company laptop computer was stolen which contained the electronic protected health information (ePHI) of 3,432 individuals. The ePHI involved in the breach included social security numbers, names, dates of service, and provider identification numbers.  The BA provided breach notification to the covered entity, affected individuals, and HHS.  The covered entity provided breach notification to the media.  Following the breach, the BA immediately launched an internal investigation and retrained the subject employee on the company's  policies on privacy and security of electronic information.  Prior to the incident, the BA had decided to dissolve the company and it ceased operations by December 2013.  The BA intends to legally file for dissolution in December 2014. 
\
\"
"Wyoming Department of Health","WY","Health Plan","11935","12/19/2013","Hacking/IT Incident","Network Server","No",""
"Colby DeHart","TN","Business Associate","2777","12/19/2013","Theft","Laptop","Yes","\N"
"ZDI","CA","Business Associate","1674","12/20/2013","Loss","Paper/Films","Yes","\N"
"Molina Healthcare of Texas, Inc.","TX","Health Plan","2826","12/21/2013","Other","Paper/Films","No","\N"
"Rob Meaglia, DDS","CA","Healthcare Provider","1400","12/23/2013","Theft","Desktop Computer","No","\N"
"Jeff Spiegel","MA","Healthcare Provider","832","12/23/2013","Unauthorized Access/Disclosure","Email","No","\N"
"Tranquility Counseling Services","NC","Healthcare Provider","1683","12/23/2013","Other","Paper/Films","No","\N"
"Florida Department of Health","FL","Healthcare Provider","2354","12/23/2013","Unauthorized Access/Disclosure","Desktop Computer","No","\N"
"Barry University","FL","Healthcare Provider","9017","12/31/2013","Hacking/IT Incident","Laptop, Network Server","No",""
"New Mexico Oncology Hematology Consultants, LTD","NM","Healthcare Provider","12354","12/31/2013","Theft","Laptop","No","\N"
"Colorado Community Health Alliance (CCHA)/Physicians Health Partners","CO","Business Associate","1918","01/02/2014","Unauthorized Access/Disclosure","Email","Yes","\N"
"Horizon Healthcare Services, Inc., doing business as Horizon Blue Cross Blue Shield of New Jersey, and its affiliates","NJ","Business Associate","839711","01/03/2014","Theft","Laptop","Yes","\N"
"Phoebe Putney Memorial Hospital","GA","Healthcare Provider","6989","01/03/2014","Loss","Desktop Computer","No","\N"
"Coulee Medical Center","WA","Healthcare Provider","2500","01/03/2014","Theft","Email, Laptop, Network Server","No","The covered entity (CE), Coulee Medical Center, reported that a CE-employed physician disclosed electronic protected health information (ePHI) to his wife without authorization.  The ePHI involved in the breach included names, hospital account numbers, dates of service, CPT codes, and service descriptions for approximately 2,500 individuals.  The CE provided breach notification to HHS and affected individuals.  Upon discovering the breach, the CE sanctioned the physician, required the physician to complete comprehensive HIPAA training, and required all workforce members to complete annual HIPAA training.  As a result of OCR's investigation, the CE implemented new information security policies and procedures to better safeguard its ePHI.  OCR provided the CE with technical assistance regarding what constitutes an adequate Security Rule risk analysis and risk management plan, as well as what constitutes adequate notice to the media pursuant to the Breach Notification Rule.  
\
\"
"RevSpring, Inc.","MI","Business Associate","3000","01/06/2014","Other","Paper/Films","Yes","\N"
"North Carolina Department of Health and Human Services ","NC","Health Plan","48752","01/06/2014","Unauthorized Access/Disclosure","Other","No","\N"
"101 Family Medical Group, Privacy Manager Breach","CA","","2500","01/08/2014","Theft","Laptop","Yes","A laptop computer owned by Phressia, Inc., a business associate (BA) of the covered entity (CE), Family Medical Group, was stolen from the parked car of a Phreesia workforce member.  In violation of the BA’s policies and procedures, both the hard drive of the laptop, and the workforce member’s Dropbox account, which was accessible through the laptop, contained the electronic protected health information (ePHI) of approximately 2,500 patients. The types of PHI involved in the breach included patients’ names, addresses, identification numbers, phone numbers, email addresses, dates of birth, social security numbers, and insurance identification numbers.  Following the breach, the BA sanctioned the responsible workforce member and retrained workforce members on its privacy and security policies and procedures. The CE provided breach notification HHS, affected individuals, and the media. In response to OCR's investigation, the BA updated its policies and procedures on device and media controls and employee sanctions."
"Tri Lakes Medical Center","MS","Healthcare Provider","1489","01/10/2014","Hacking/IT Incident","Network Server","No","\N"
"Virginia Premier Health Plan (VPHP)","VA","Business Associate","25513","01/10/2014","Theft","Paper/Films","Yes","Virginia Premier Health Plan, a business associate (BA) of the covered entity (CE), Virginia Department of Medical Assistance Services (VA-DMAS), mailed incorrect postcards to Virginia Medicaid members.  The breach included 13,357 postcards that were mailed to the wrong address and 12,156 postcards that contained incorrect services information.  The information did not include social security numbers or financial information.  The BA provided breach notification to HHS, the media, and to affected individuals in English and Spanish.  Following this breach, the BA improved safeguards by retraining employees on safeguards for protected health information, updating procedures for mailings, and implementing additional quality control checks.   OCR obtained assurances that the BA implemented the corrective action listed above."
"Cook County Health & Hospitals System","IL","Healthcare Provider","22511","01/11/2014","Other","Email","No","\N"
"Southwest General Health Center","OH","Healthcare Provider","953","01/13/2014","Unknown","Other","No","\N"
"RGH Enterprises, Inc.","OH","Health Plan","4230","01/13/2014","Theft","Network Server","No","Computer hackers installed malware that intercepted the electronic protected health information (ePHI) of approximately 4,230 individuals using the covered entity's (CE's) website.  The ePHI included names, dates of birth, phone numbers, shipping and billing addresses, email addresses, credit card issuers, expiration dates, the last 4 digits of credit card numbers, account numbers, primary physicians, diagnoses, order histories, and health insurers.  Following the breach, the CE removed the malware from the affected computer servers, migrated the website to non-compromised "
"Network Pharmacy Knoxville","TN","Healthcare Provider","9602","01/15/2014","Theft","Laptop","No","\N"
"Alamo Consumer Direct, LLC","TX","","","01/16/2014","","","No",""
"Saint Francis Hospital and Medical Center","CT","Healthcare Provider","858","01/16/2014","Theft","Paper/Films","No","\N"
"Sentara Healthcare","VA","Healthcare Provider","3861","01/16/2014","Theft, Unauthorized Access/Disclosure","Electronic Medical Record","No","\N"
"Health Dimensions","MI","Healthcare Provider","5370","01/16/2014","Theft","Network Server","No","\N"
"COMPLETE MEDICAL HOMECARE","KS","Healthcare Provider","1700","01/21/2014","Unauthorized Access/Disclosure","Other Portable Electronic Device","No","\N"
"Hospital for Special Surgery","NY","Healthcare Provider","937","01/21/2014","Theft","Desktop Computer, Paper/Films","No","\N"
"The Brooklyn Hospital Center","NY","Healthcare Provider","2172","01/22/2014","Loss","Other Portable Electronic Device","No","\N"
"Robert B. Neves, M.D.","CA","Business Associate","611","01/24/2014","Theft","Laptop","Yes",""
"Triple-C, Inc.","PR","Business Associate","398000","01/24/2014","Theft","Network Server","Yes","\N"
"Triple-C, Inc.","PR","Business Associate","8000","01/24/2014","Theft, Unauthorized Access/Disclosure","Network Server","Yes","\N"
"Birmingham Printing and Publishing, Inc dba Paper Airplane","AL","Business Associate","1085","01/24/2014","Other","Other","Yes","\N"
"Medical Mutual of Ohio","OH","Business Associate","1420","01/27/2014","Unauthorized Access/Disclosure","Paper/Films","Yes","\N"
"University of Wisconsin-Madison School of Pharmacy","WI","Business Associate","41437","01/30/2014","Loss","Other Portable Electronic Device","Yes","\N"
"The University of Texas MD Anderson Cancer Center","TX","Healthcare Provider","3598","01/31/2014","Loss","Other Portable Electronic Device","No","\N"
"Beebe Medical Center","DE","Healthcare Provider","1883","01/31/2014","Other","Laptop","No","\N"
"St. Joseph Health System ","TX","Health Plan","405000","02/05/2014","Hacking/IT Incident","Network Server","No","\N"
"Min Yi, M.D.","CA","Healthcare Provider","4676","02/05/2014","Theft","Other Portable Electronic Device","No","\N"
"Easter Seal Society of Superior California","CA","Healthcare Provider","3026","02/07/2014","Theft","Laptop","No","\N"
"PruittHealth Pharmacy Services","GA","Healthcare Provider","841","02/07/2014","Theft","Laptop","No","A manager's unencrypted laptop computer was stolen from the back seat of an employee's car.  The laptop contained the protected health information (PHI) of 841 individuals and included names, possible diagnoses, prescription names, dates of service, and service locations.  The covered entity (CE) has improved safeguards by encrypting devices and employing devices that do not allow local storage.  The CE has also revised its privacy and security policies and re-trained employees.  OCR has consolidated this review into a compliance review that involves the same corporate entity and another stolen unencrypted laptop. "
"Kmart Corporation","IL","Healthcare Provider","16446","02/10/2014","Theft","Electronic Medical Record, Other","No","\N"
"WA State Department of Social & Health Services","WA","Health Plan","3104","02/11/2014","Other, Unauthorized Access/Disclosure","Paper/Films","No","\N"
"Not Applicable ","NY","Business Associate","6475","02/12/2014","Other, Theft","Laptop","Yes","\N"
"University of Miami","FL","Healthcare Provider","13074","02/12/2014","Loss","Paper/Films","No","\N"
"Supportive Concepts for Families, Inc.","PA","Healthcare Provider","593","02/13/2014","Unauthorized Access/Disclosure","Network Server","No","\N"
"Health Care Solutions at Home Inc.","OH","Health Plan","1139","02/14/2014","Theft","Other","No","The covered entity (CE) mistakenly mailed protected health information (PHI) to the wrong addresses of approximately 1,139 individuals following a computer error at the business associate (BA).  The PHI involved in the breach included names, addresses, dates of birth, dates of service, claims information, and diagnoses.  The CE provided breach notification to affected individuals, HHS, and the media, and posted substitute notice on its website.  To prevent a similar breach from happening in the future, the CE and BA improved safeguards by updating policies to require multiple reviews of PHI in mailings.  Following OCR's investigation, the CE updated its policies and procedures relating to the minimum necessary standard."
"University of California Davis Medical Center","CA","Healthcare Provider","2269","02/14/2014","Hacking/IT Incident","Email","No","\N"
"St. Vincent Hospital and Healthcare, Inc","IN","Healthcare Provider","1142","02/18/2014","Theft","Laptop","No","\N"
"StayWell Health Management, LLC","MN","Business Associate","10024","02/21/2014","Unauthorized Access/Disclosure","Network Server","Yes","\N"
"StayWell Health Management, LLC","MN","Business Associate","520","02/21/2014","Unauthorized Access/Disclosure","Network Server","Yes","\N"
"StayWell Health Management, LLC","MN","Business Associate","4786","02/21/2014","Unauthorized Access/Disclosure","Network Server","Yes","StayWell Health Management, a business associate (BA) for multiple covered entities (CE), reported that, from March 29, 2012, until January 21, 2014, spreadsheets containing the protected health information (PHI) of 19,474 individuals who participated in wellness programs were unintentionally available online when an internal administrative tool generated reports and placed those reports in a public facing folder.  The types of PHI on the spreadsheets included the participants’ names, email addresses, unique BA identification numbers, and information about participation in the program.  The BA provided breach notification to HHS, affected individuals, and the media on behalf of the CEs affected by the breach:  Regents of the University of Minnesota, Missouri Consolidated health Care Plan, Clorox Company Group Insurance Plan, Nissan North America, Inc., and QBE Holdings, Inc.  Upon discovery of the breach, the BA upgraded its platform and revised and implemented its policies and procedures.  OCR obtained assurances that the BA implemented the corrective actions listed above.  Steps were also taken to restrict access to and to remove the data entirely from Google, Bing, Yahoo, and other search engines.  Separate breach cases have been opened for each of the affected CEs.     "
"Inspira Health Network Inc.","NJ","Healthcare Provider","1411","02/21/2014","Theft","Desktop Computer","No","\N"
"StayWell Health Management, LLC","MN","Business Associate","1511","02/25/2014","Unauthorized Access/Disclosure","Network Server","Yes","\N"
"Care Advantage, Inc.","VA","Healthcare Provider","3458","02/26/2014","Theft","Laptop","No","\N"
"Pair Networks Inc.","PA","Business Associate","8845","02/26/2014","Other, Unauthorized Access/Disclosure","Other","Yes","\N"
"The Kroger Co., for itself and its affiliates and subsidiaries","OH","Healthcare Provider","504","02/26/2014","Other","Electronic Medical Record","No","\N"
"Cornerstone Health Care, PA","NC","Healthcare Provider","548","02/26/2014","Loss, Theft","Laptop","No","\N"
"Joseph Michael Benson M.D","TX","Healthcare Provider","7500","02/27/2014","Theft","Desktop Computer","No","\N"
"Data Media","GA","Business Associate","600","02/28/2014","Other","Other","Yes","\N"
"Eureka Internal Medicine","CA","Healthcare Provider","3534","03/04/2014","Improper Disposal","Paper/Films","No","\N"
"St. Joseph Health System","TX","Business Associate","3300","03/05/2014","Hacking/IT Incident","Network Server","Yes","\N"
"Banner Health","AZ","Healthcare Provider","55207","03/05/2014","Other","Other","No","\N"
"PracMan, Inc.","AL","Business Associate","1179","03/10/2014","Hacking/IT Incident","Network Server","Yes","\N"
"Iowa Dept. of Human Services","IA","Health Plan","2042","03/10/2014","Other","Email, Laptop, Other Portable Electronic Device","No","\N"
"Mission City Community Network","CA","Healthcare Provider","7800","03/12/2014","Theft","Email","No",""
"University of California, San Francisco","CA","Healthcare Provider","9861","03/12/2014","Theft","Desktop Computer","No","\N"
"Detroit Medical Center - Harper University Hospital","MI","Healthcare Provider","1087","03/13/2014","Theft, Unauthorized Access/Disclosure","Paper/Films","No","\N"
"Todd M. Burton, M.D.","TX","Healthcare Provider","5000","03/13/2014","Theft","Other","No","\N"
"Valley View Hosptial Association","CO","Healthcare Provider","5415","03/14/2014","Other","Desktop Computer, Laptop","No","\N"
"Hospitalists of Arizona","AZ","Healthcare Provider","1706","03/16/2014","Theft","Laptop","No","\N"
"TMA Practice Management Group","TX","Business Associate","2260","03/17/2014","Improper Disposal, Loss","Other Portable Electronic Device","Yes","\N"
"StayWell Health Management, LLC","MN","Business Associate","1746","03/18/2014","Unauthorized Access/Disclosure","Network Server","Yes","\N"
"Berea College","KY","Healthcare Provider","1000","03/20/2014","Other","Electronic Medical Record","No","\N"
"HealthPartners, Inc.","MN","Health Plan","27839","03/21/2014","Loss, Unauthorized Access/Disclosure","Desktop Computer, Laptop, Other Portable Electronic Device","No","\N"
"HealthPartners Administrators, Inc.","MN","Business Associate","796","03/21/2014","Loss, Unauthorized Access/Disclosure","Desktop Computer, Laptop, Other Portable Electronic Device","Yes","\N"
"HealthPartners Administrators, Inc.","MN","Business Associate","1699","03/21/2014","Loss, Unauthorized Access/Disclosure","Desktop Computer, Laptop, Other Portable Electronic Device","Yes","\N"
"HealthPartners Administrators, Inc.","MN","Business Associate","715","03/21/2014","Loss, Unauthorized Access/Disclosure","Desktop Computer, Laptop, Other Portable Electronic Device","Yes","\N"
"Talyst","WA","Business Associate","1079","03/24/2014","Theft","Laptop","Yes","\N"
"Yellowstone Boys and Girls Ranch","MT","Healthcare Provider","543","03/24/2014","Loss","Paper/Films","No",""
"Orlando Health, Inc.","FL","Healthcare Provider","586","03/24/2014","Loss","Other Portable Electronic Device","No","\N"
"Stoetzel's Planet Chiropractic","IL","Healthcare Provider","1000","03/25/2014","Theft","Laptop, Other Portable Electronic Device","No","An unauthorized individual broke into the covered entity's (CE) facility and stole a laptop computer containing the electronic protected health information (ePHI) of approximately 1,000 individuals, including names, credit card numbers, bank account numbers, treatment information, and x-ray images.  The CE provided breach notification to HHS, affected individuals, and prominent media outlets in Illinois.  Following the breach, the CE reported the theft to the local police department, relocated to a new facility, and implemented facility security measures, including a security alarm system.  It also enhanced its policies and procedures implementing the Privacy and Security Rules.  OCR obtained assurances that the CE implemented the corrective actions listed.  

"
"NOVA Chiropractic & Rehab Center","VA","Healthcare Provider","5534","03/27/2014","Loss, Other","Other Portable Electronic Device","No","\N"
"Susquehanna Health","PA","Healthcare Provider","657","03/27/2014","Unauthorized Access/Disclosure","Email","No","\N"
"Jewish Hospital","KY","Healthcare Provider","2992","03/28/2014","Other","Email","No","\N"
"Franciscan Medical Group","WA","Healthcare Provider","8300","03/28/2014","Other","Email","No","\N"
"Palomar Health","CA","Healthcare Provider","5499","03/28/2014","Theft","Other Portable Electronic Device","No","\N"
"Myriad Genetic Laboratories, Inc.","UT","Healthcare Provider","643","03/29/2014","Unauthorized Access/Disclosure","Email","No","\N"
"RelayHealth, a division of McKesson","GA","Business Associate","1000","03/31/2014","Unauthorized Access/Disclosure","Other","Yes","\N"
"Policy Studies, Inc. / Postal Center International, Inc.","FL","Business Associate","580","03/31/2014","Unauthorized Access/Disclosure","Paper/Films","Yes","\N"
"Midwest Orthopaedics at Rush, LLC","IL","Healthcare Provider","1256","03/31/2014","Hacking/IT Incident","Email","No","\N"
"Indian Health Service","MD","Health Plan","214000","04/01/2014","Unauthorized Access/Disclosure","Laptop","No","\N"
"Kaiser Permanente Northern CA Department of Research","CA","Healthcare Provider","5178","04/02/2014","Hacking/IT Incident","Network Server","No","\N"
"Triple-S Salud ","PR","Health Plan","5795","04/02/2014","Theft","Other","No",""
"American Health Inc. ","PR","Health Plan","17776","04/03/2014","Theft","Other","No",""
"State Long Term Care Ombudsman���s Office, Michigan Department of Community Health ","MI","Health Plan","2595","04/03/2014","Theft","Other Portable Electronic Device","No","\N"
"Presence St. Joseph's Medical Center","IL","Healthcare Provider","836","04/04/2014","Other","Paper/Films","No","\N"
